dictLookup,index,termID,termLabel,dictText,itemNum,matchType,matchSlugs,personLookup,placeLookup
"Atonement, Day of",609,a-p636.14,"Atonement, Day of","The great annual day of humiliation and expiation for the sins of the nation, “the fast” ([Acts 27:9](/acts#Acts.27.9)), and the only one commanded in the law of Moses. The mode of its observance is described in [Lev. 16:3-10](/lev#Lev.16.3); [23:26-32](/lev#Lev.23.26); and [Num. 29:7-11](/num#Num.29.7).

 It was kept on the tenth day of the month Tisri, i.e., five days before the feast of Tabernacles, and lasted from sunset to sunset.",0.0,unmatched,unmatched,,
Augustus,610,a-p638.2,Augustus,"The cognomen of the first Roman emperor, C. Julius Caesar Octavianus, during whose reign Christ was born ([Luke 2:1](/luke#Luke.2.1)). His decree that “all the world should be taxed” was the divinely ordered occasion of Jesus’ being born, according to prophecy ([Micah 5:2](/mic#Mic.5.2)), in Bethlehem. This name being simply a title meaning “majesty” or “venerable,” first given to him by the senate (B.C. 27), was borne by succeeding emperors. Before his death (A.D. 14) he associated Tiberius with him in the empire ([Luke 3:1](/luke#Luke.3.1)), by whom he was succeeded.",0.0,person,augustus_366,augustus_366,
Augustus band,611,a-p639.4,Augustus band,"([Acts 27:1](/acts#Acts.27.1).: literally, of Sebaste, the Greek form of Augusta, the name given to Caesarea in honour of Augustus Caesar). Probably this “band” or cohort consisted of Samaritan soldiers belonging to Caesarea.",0.0,unmatched,unmatched,,
Ava,612,a-p640.2,Ava,A place in Assyria from which colonies were brought to Samaria ([2 Kings 17:24](/2kgs#2Kgs.17.24)). It is probably the same with Ivah (18:34; 19:13; [Isa. 37:13](/isa#Isa.37.13)). It has been identified with Hit on the Euphrates.,0.0,place,avva_123,,avva_123
Aven,613,a-p641.3,Aven,"
Nothingness; vanity. ",0.0,unmatched,unmatched,,
Aven 1,614,a-p641.3,Aven,"Hosea speaks of the “high places of Aven” (10:8), by which he means Bethel. He also calls it Beth-aven, i.e., “the house of vanity” (4:15), on account of the golden calves Jeroboam had set up there ([1 Kings 12:28](/1kgs#1Kgs.12.28)).",1.0,unmatched,unmatched,,
Aven 2,615,a-p641.3,Aven,Translated by the LXX. “On” in [Ezek. 30:17](/ezek#Ezek.30.17). The Egyptian Heliopolis or city of On (q.v.).,2.0,unmatched,unmatched,,
Aven 3,616,a-p641.3,Aven,"In [Amos 1:5](/amos#Amos.1.5) it denotes the Syrian Heliopolis, the modern Baalbec.",3.0,unmatched,unmatched,,plain_of_aven_1198
Avenger of blood,617,a-p644.2,Avenger of blood,"(Heb. goel, from verb gaal, “to be near of kin,” “to redeem”), the nearest relative of a murdered person. It was his right and duty to slay the murderer ([2 Sam. 14:7](/2sam#2Sam.14.7), [11](/2sam#2Sam.14.11)) if he found him outside of a city of refuge. In order that this law might be guarded against abuse, Moses appointed six cities of refuge ([Ex. 21:13](/exod#Exod.21.13); [Num. 35:13](/num#Num.35.13); [Deut. 19:1](/deut#Deut.19.1), [9](/deut#Deut.19.9)). These were in different parts of the country, and every facility was afforded the manslayer that he might flee to the city that lay nearest him for safety. Into the city of refuge the avenger durst not follow him. This arrangement applied only to cases where the death was not premeditated. The case had to be investigated by the authorities of the city, and the wilful murderer was on no account to be spared. He was regarded as an impure and polluted person, and was delivered up to the goel ([Deut. 19:11-13](/deut#Deut.19.11)). If the offence was merely manslaughter, then the fugitive must remain within the city till the death of the high priest ([Num. 35:25](/num#Num.35.25)).",0.0,unmatched,unmatched,,
Avim,618,a-p645.9,Avim,"A people dwelling in Hazerim, or “the villages” or “encampments” on the south-west corner of the sea-coast ([Deut. 2:23](/deut#Deut.2.23)). They were subdued and driven northward by the Caphtorim. A trace of them is afterwards found in [Josh. 13:3](/josh#Josh.13.3), where they are called Avites.",0.0,unmatched,unmatched,,
Awl,619,a-p646.3,Awl,"An instrument only referred to in connection with the custom of boring the ear of a slave ([Ex. 21:6](/exod#Exod.21.6); [Deut. 15:17](/deut#Deut.15.17)), in token of his volunteering perpetual service when he might be free. (Comp. [Ps. 40:6](/ps#Ps.40.6); [Isa. 50:5](/isa#Isa.50.5)).",0.0,unmatched,unmatched,,
Axe,620,a-p647.5,Axe,"Used in the Authorized Version of [Deut. 19:5](/deut#Deut.19.5); [20:19](/deut#Deut.20.19); [1 Kings 6:7](/1kgs#1Kgs.6.7), as the translation of a Hebrew word which means “chopping.” It was used for felling trees ([Isa. 10:34](/isa#Isa.10.34)) and hewing timber for building. It is the rendering of a different word in [Judg. 9:48](/judg#Judg.9.48), [1 Sam. 13:20](/1sam#1Sam.13.20), [21](/1sam#1Sam.13.21), [Ps. 74:5](/ps#Ps.74.5), which refers to its sharpness. In [2 Kings 6:5](/2kgs#2Kgs.6.5) it is the translation of a word used with reference to its being made of iron. In [Isa. 44:12](/isa#Isa.44.12) the Revised Version renders by “axe” the Hebrew maatsad, which means a “hewing” instrument. In the Authorized Version it is rendered “tongs.” It is also used in [Jer. 10:3](/jer#Jer.10.3), and rendered “axe.” The “battle-axe” (army of Medes and Persians) mentioned in [Jer. 51:20](/jer#Jer.51.20) was probably, as noted in the margin of the Revised Version, a “maul” or heavy mace. In [Ps. 74:6](/ps#Ps.74.6) the word so rendered means “feller.” (See the figurative expression in [Matt. 3:10](/matt#Matt.3.10); [Luke 3:9](/luke#Luke.3.9).)",0.0,unmatched,unmatched,,
Azal,621,a-p648.16,Azal,"([Zech. 14:5](/zech#Zech.14.5)) should perhaps be rendered “very near” = “the way of escape shall be made easy.” If a proper name, it may denote some place near the western extremity of the valley here spoken of near Jerusalem.",0.0,place,azal_126,,azal_126
Azariah,622,a-p649.2,Azariah,"
Whom Jehovah helps. ",0.0,unmatched,unmatched,,
Azariah 1,623,a-p649.2,Azariah,"Son of Ethan, of the tribe of Judah ([1 Chr. 2:8](/1chr#1Chr.2.8)).",1.0,person,azariah_376,azariah_376,
Azariah 2,624,a-p649.2,Azariah,"Son of Ahimaaz, who succeeded his grandfather Zadok as high priest ([1 Chr. 6:9](/1chr#1Chr.6.9); [1 Kings 4:2](/1kgs#1Kgs.4.2)) in the days of Solomon. He officiated at the consecration of the temple ([1 Chr. 6:10](/1chr#1Chr.6.10)).",2.0,multi,"['azariah_378', 'azariah_373']",,
Azariah 3,625,a-p649.2,Azariah,"The son of Johanan, high priest in the reign of Abijah and Asa ([2 Chr. 6:10](/2chr#2Chr.6.10), [11](/2chr#2Chr.6.11)).",3.0,unmatched,unmatched,,
Azariah 4,626,a-p649.2,Azariah,"High priest in the reign of Uzziah, king of Judah ([2 Kings 14:21](/2kgs#2Kgs.14.21); [2 Chr. 26:17-20](/2chr#2Chr.26.17)). He was contemporary with the prophets Isaiah, Amos, and Joel.",4.0,person,azariah_385,azariah_385,
Azariah 5,627,a-p649.2,Azariah,High priest in the days of Hezekiah ([2 Chr. 31:10-13](/2chr#2Chr.31.10)). Of the house of Zadok.,5.0,unmatched,unmatched,,
Azariah 6,628,a-p649.2,Azariah,"Several other priests and Levites of this name are mentioned ([1 Chr. 6:36](/1chr#1Chr.6.36); [Ezra 7:1](/ezra#Ezra.7.1); [1 Chr. 9:11](/1chr#1Chr.9.11); [Neh. 3:23](/neh#Neh.3.23), etc.).",6.0,multi,"['azariah_2925', 'azariah_379', 'azariah_542']",,
Azariah 7,629,a-p649.2,Azariah,"The original name of Abed-nego ([Dan. 1:6](/dan#Dan.1.6), [7](/dan#Dan.1.7), [11](/dan#Dan.1.11), [16](/dan#Dan.1.16)). He was of the royal family of Judah, and with his other two companions remarkable for his personal beauty and his intelligence as well as piety.",7.0,person,azariah_545,azariah_545,
Azariah 8,630,a-p649.2,Azariah,"The son of Oded, a remarkable prophet in the days of Asa ([2 Chr. 15:1](/2chr#2Chr.15.1)). He stirred up the king and the people to a great national reformation.",8.0,person,azariah_380,azariah_380,
Azazel,631,a-p657.2,Azazel,"([Lev. 16:8](/lev#Lev.16.8), [10](/lev#Lev.16.10), [26](/lev#Lev.16.26), Revised Version only here; rendered “scape-goat” in the Authorized Version). This word has given rise to many different views. Some Jewish interpreters regard it as the name of a place some 12 miles east of Jerusalem, in the wilderness. Others take it to be the name of an evil spirit, or even of Satan. But when we remember that the two goats together form a type of Christ, on whom the Lord “laid the iniquity of us all,” and examine into the root meaning of this word (viz., “separation”), the interpretation of those who regard the one goat as representing the atonement made, and the other, that “for Azazel,” as representing the effect of the great work of atonement (viz., the complete removal of sin), is certainly to be preferred. The one goat which was “for Jehovah” was offered as a sin-offering, by which atonement was made. But the sins must also be visibly banished, and therefore they were symbolically laid by confession on the other goat, which was then “sent away for Azazel” into the wilderness. The form of this word indicates intensity, and therefore signifies the total separation of sin: it was wholly carried away. It was important that the result of the sacrifices offered by the high priest alone in the sanctuary should be embodied in a visible transaction, and hence the dismissal of the “scape-goat.” It was of no consequence what became of it, as the whole import of the transaction lay in its being sent into the wilderness bearing away sin. As the goat “for Jehovah” was to witness to the demerit of sin and the need of the blood of atonement, so the goat “for Azazel” was to witness to the efficacy of the sacrifice and the result of the shedding of blood in the taking away of sin.",0.0,place,azazel_127,,azazel_127
Azaziah,632,a-p658.4,Azaziah,"
Whom Jehovah strengthened. ",0.0,unmatched,unmatched,,
Azaziah 1,633,a-p658.4,Azaziah,One of the Levitical harpers in the temple ([1 Chr. 15:21](/1chr#1Chr.15.21)).,1.0,person,azaziah_547,azaziah_547,
Azaziah 2,634,a-p658.4,Azaziah,"The father of Hoshea, who was made ruler over the Ephraimites ([1 Chr. 27:20](/1chr#1Chr.27.20)).",2.0,person,azaziah_548,azaziah_548,
Azaziah 3,635,a-p658.4,Azaziah,One who had charge of the temple offerings ([2 Chr. 31:13](/2chr#2Chr.31.13)).,3.0,person,azaziah_549,azaziah_549,
Azekah,636,a-p661.2,Azekah,"Dug over, a town in the Shephelah or low hills of Judah ([Josh. 15:35](/josh#Josh.15.35)), where the five confederated Amoritish kings were defeated by Joshua and their army destroyed by a hailstrom (10:10, 11). It was one of the places re-occupied by the Jews on their return from the Captivity ([Neh. 11:30](/neh#Neh.11.30)).",0.0,place,azekah_128,,azekah_128
Azel,637,a-p662.3,Azel,"Noble, a descendant of king Saul ([1 Chr. 8:37](/1chr#1Chr.8.37); [9:43](/1chr#1Chr.9.43), [44](/1chr#1Chr.9.44)).",0.0,person,azel_551,azel_551,
Azmaveth,638,a-p663.4,Azmaveth,"
Strong as death. ",0.0,unmatched,unmatched,,
Azmaveth 1,639,a-p663.4,Azmaveth,One of David’s thirty warriors ([2 Sam. 23:31](/2sam#2Sam.23.31)).,1.0,person,azmaveth_555,azmaveth_555,
Azmaveth 2,640,a-p663.4,Azmaveth,An overseer over the royal treasury in the time of David and Solomon ([1 Chr. 27:25](/1chr#1Chr.27.25)).,2.0,person,azmaveth_558,azmaveth_558,
Azmaveth 3,641,a-p663.4,Azmaveth,"A town in the tribe of Judah, near Jerusalem ([Neh. 12:29](/neh#Neh.12.29); [Ezra 2:24](/ezra#Ezra.2.24)).",3.0,place,azmaveth_129,,azmaveth_129
Azmaveth 4,642,a-p663.4,Azmaveth,[1 Chr. 8:36](/1chr#1Chr.8.36),4.0,person,azmaveth_556,azmaveth_556,
Azotus,643,a-p667.2,Azotus,"The Grecized form ([Acts 8:40](/acts#Acts.8.40), etc.) of Ashdod (q.v.).",0.0,place,azotus_132,,azotus_132
Azubah,644,a-p668.2,Azubah,"
Deserted. ",0.0,unmatched,unmatched,,
Azubah 1,645,a-p668.2,Azubah,"The wife of Caleb ([1 Chr. 2:18](/1chr#1Chr.2.18), [19](/1chr#1Chr.2.19)).",1.0,person,azubah_568,azubah_568,
Azubah 2,646,a-p668.2,Azubah,"The daughter of Shilhi, and mother of king Jehoshaphat ([1 Kings 22:42](/1kgs#1Kgs.22.42)).",2.0,person,azubah_567,azubah_567,
Azur and Azzur,647,a-p670.2,Azur and Azzur,"
Helper. ",0.0,unmatched,unmatched,,
Azur and Azzur 1,648,a-p670.2,Azur and Azzur,"The father of Hananiah, a false prophet ([Jer. 28:1](/jer#Jer.28.1)).",1.0,person,azur_569,azur_569,
Azur and Azzur 2,649,a-p670.2,Azur and Azzur,The father of Jaazaniah ([Ezek. 11:1](/ezek#Ezek.11.1)).,2.0,person,azur_570,azur_570,
Azur and Azzur 3,650,a-p670.2,Azur and Azzur,One of those who sealed the covenant with Jehovah on the return from Babylon ([Neh. 10:17](/neh#Neh.10.17)).,3.0,person,azzur_572,azzur_572,
Baal,651,b-p0.2,Baal,"
Lord. ",0.0,unmatched,unmatched,,
Baal 1,652,b-p0.2,Baal,"The name appropriated to the principal male god of the Phoenicians. It is found in several places in the plural BAALIM ([Judg. 2:11](/judg#Judg.2.11); [10:10](/judg#Judg.10.10); [1 Kings 18:18](/1kgs#1Kgs.18.18); [Jer. 2:23](/jer#Jer.2.23); [Hos. 2:17](/hos#Hos.2.17)). Baal is identified with Molech ([Jer. 19:5](/jer#Jer.19.5)). It was known to the Israelites as Baal-peor ([Num. 25:3](/num#Num.25.3); [Deut. 4:3](/deut#Deut.4.3)), was worshipped till the time of Samuel ([1 Sam 7:4](/1sam#1Sam.7.4)), and was afterwards the religion of the ten tribes in the time of Ahab ([1 Kings 16:31-33](/1kgs#1Kgs.16.31); [18:19](/1kgs#1Kgs.18.19), [22](/1kgs#1Kgs.18.22)). It prevailed also for a time in the kingdom of Judah ([2 Kings 8:27](/2kgs#2Kgs.8.27); comp. 11:18; 16:3; [2 Chr. 28:2](/2chr#2Chr.28.2)), till finally put an end to by the severe discipline of the Captivity ([Zeph. 1:4-6](/zeph#Zeph.1.4)). The priests of Baal were in great numbers ([1 Kings 18:19](/1kgs#1Kgs.18.19)), and of various classes ([2 Kings 10:19](/2kgs#2Kgs.10.19)). Their mode of offering sacrifices is described in [1 Kings 18:25-29](/1kgs#1Kgs.18.25). The sun-god, under the general title of Baal, or “lord,” was the chief object of worship of the Canaanites. Each locality had its special Baal, and the various local Baals were summed up under the name of Baalim, or “lords.” Each Baal had a wife, who was a colourless reflection of himself.",1.0,person,baal_573,baal_573,
Baal 2,653,b-p0.2,Baal,"A Benjamite, son of Jehiel, the progenitor of the Gibeonites ([1 Chr. 8:30](/1chr#1Chr.8.30); [9:36](/1chr#1Chr.9.36)).",2.0,person,baal_575,baal_575,
Baal 3,654,b-p0.2,Baal,"The name of a place inhabited by the Simeonites, the same probably as Baal-ath-beer ([1 Chr. 4:33](/1chr#1Chr.4.33); [Josh. 19:8](/josh#Josh.19.8)).",3.0,place,baal_133,,baal_133
Baalah,655,b-p3.3,Baalah,"
Mistress; city. ",0.0,unmatched,unmatched,,
Baalah 1,656,b-p3.3,Baalah,"A city in the south of Judah ([Josh. 15:29](/josh#Josh.15.29)), elsewhere called Balah ([Josh. 19:3](/josh#Josh.19.3)) and Bilhah ([1 Chr. 4:29](/1chr#1Chr.4.29)). Now Khurbet Zebalah.",1.0,place,baalah_134,,baalah_134
Baalah 2,657,b-p3.3,Baalah,"A city on the northern border of the tribe of Judah ([Josh. 15:10](/josh#Josh.15.10)), called also Kirjath-jearim, q.v. (15:9; [1 Chr. 13:6](/1chr#1Chr.13.6)), now Kuriet-el-Enab, or as some think, ‘Erma.",2.0,place,baalah_135,,baalah_135
Baalah 3,658,b-p3.3,Baalah,A mountain on the north-western boundary of Judah and Dan ([Josh. 15:11](/josh#Josh.15.11)).,3.0,unmatched,unmatched,,mount_baalah_830
Baalath,659,b-p6.2,Baalath,"A town of the tribe of Dan ([Josh. 19:44](/josh#Josh.19.44)). It was fortified by Solomon ([1 Kings 9:18](/1kgs#1Kgs.9.18); [2 Chr. 8:6](/2chr#2Chr.8.6)). Some have identified it with Bel’ain, in Wady Deir Balut.",0.0,multi,"['baalath_137', 'baalath_136']",,"baalath_136,baalath_137"
Baalath-beer,660,b-p7.4,Baalath-beer,"Baalah of the well, ([Josh. 19:8](/josh#Josh.19.8), probably the same as Baal, mentioned in [1 Chr. 4:33](/1chr#1Chr.4.33), a city of Simeon.",0.0,place,baalath-beer_138,,baalath-beer_138
Baalbec,661,b-p8.3,Baalbec,"Called by the Greeks Heliopolis i.e., “the city of the sun”, because of its famous Temple of the Sun, has by some been supposed to be Solomon’s “house of the forest of Lebanon” ([1 Kings 7:2](/1kgs#1Kgs.7.2); [10:17](/1kgs#1Kgs.10.17); [2 Chr. 9:16](/2chr#2Chr.9.16)); by others it is identified with Baal-gad (q.v.). It was a city of Coele-Syria, on the lowest declivity of Anti-Libanus, about 42 miles north-west of Damascus. It was one of the most splendid of Syrian cities, existing from a remote antiquity. After sustaining several sieges under the Moslems and others, it was finally destroyed by an earthquake in 1759. Its ruins are of great extent.",0.0,unmatched,unmatched,,
Baal-berith,662,b-p9.4,Baal-berith,"Covenant lord, the name of the god worshipped in Shechem after the death of Gideon ([Judg. 8:33](/judg#Judg.8.33); [9:4](/judg#Judg.9.4)). In 9:46 he is called simply “the god Berith.” The name denotes the god of the covenant into which the Israelites entered with the Canaanites, contrary to the command of Jehovah ([Ex. 34:12](/exod#Exod.34.12)), when they began to fall away to the worship of idols.",0.0,unmatched,unmatched,,
Baale of Judah,663,b-p10.4,Baale of Judah,"Lords of Judah, a city in the tribe of Judah from which David brought the ark into Jerusalem ([2 Sam. 6:2](/2sam#2Sam.6.2)). Elsewhere ([1 Chr. 13:6](/1chr#1Chr.13.6)) called Kirjath-jearim.",0.0,place,baale-judah_139,,baale-judah_139
Baal-gad,664,b-p11.4,Baal-gad,"Lord of fortune, or troop of Baal, a Canaanite city in the valley of Lebanon at the foot of Hermon, hence called Baal-hermon (Judge. 3:3; [1 Chr. 5:23](/1chr#1Chr.5.23)), near the source of the Jordan ([Josh. 13:5](/josh#Josh.13.5); [11:17](/josh#Josh.11.17); [12:7](/josh#Josh.12.7)). It was the most northern point to which Joshua’s conquests extended. It probably derived its name from the worship of Baal. Its modern representative is Banias. Some have supposed it to be the same as Baalbec.",0.0,place,baal-gad_140,,baal-gad_140
Baal-hamon,665,b-p12.5,Baal-hamon,"Place of a multitude, a place where Solomon had an extensive vineyard ([Cant. 8:11](/song#Song.8.11)). It has been supposed to be identical with Baal-gad, and also with Hammon in the tribe of Asher ([Josh. 19:28](/josh#Josh.19.28)). Others identify it with Belamon, in Central Palestine, near Dothaim.",0.0,place,baal-hamon_141,,baal-hamon_141
Baal-hanan,666,b-p13.3,Baal-hanan,"
Lord of grace. ",0.0,unmatched,unmatched,,
Baal-hanan 1,667,b-p13.3,Baal-hanan,"A king of Edom, son of Achbor ([Gen. 36:38](/gen#Gen.36.38), [39](/gen#Gen.36.39); [1 Chr. 1:49](/1chr#1Chr.1.49), [50](/1chr#1Chr.1.50)).",1.0,unmatched,unmatched,baal-hanan_576,
Baal-hanan 2,668,b-p13.3,Baal-hanan,An overseer of “the olive trees and sycomore trees in the low plains” (the Shephelah) under David ([1 Chr. 27:28](/1chr#1Chr.27.28)).,2.0,person,baal-hanan_577,baal-hanan_577,
Baal-hazor,669,b-p15.2,Baal-hazor,"Having a courtyard, or Baal’s village, the place on the borders of Ephraim and Benjamin where Absalom held the feast of sheep-shearing when Amnon was assassinated ([2 Sam. 13:23](/2sam#2Sam.13.23)). Probably it is the same with Hazor ([Neh. 11:33](/neh#Neh.11.33)), now Tell’ Asur, 5 miles north-east of Bethel.",0.0,place,baal-hazor_142,,baal-hazor_142
Baal-hermon,670,b-p16.3,Baal-hermon,"
Lord of Hermon. ",0.0,unmatched,unmatched,,
Baal-hermon 1,671,b-p16.3,Baal-hermon,A city near Mount Hermon inhabited by the Ephraimites ([1 Chr. 5:23](/1chr#1Chr.5.23)). Probably identical with Baal-gad ([Josh. 11:17](/josh#Josh.11.17)).,1.0,place,baal-hermon_143,,baal-hermon_143
Baal-hermon 2,672,b-p16.3,Baal-hermon,"A mountain east of Lebanon ([Judg. 3:3](/judg#Judg.3.3)). Probably it may be the same as Mount Hermon, or one of its three peaks.",2.0,unmatched,unmatched,,
Baali,673,b-p18.2,Baali,"My lord, a title the prophet ([Hos. 2:16](/hos#Hos.2.16)) reproaches the Jewish church for applying to Jehovah, instead of the more endearing title Ishi, meaning “my husband.”",0.0,unmatched,unmatched,,
Baalim,674,b-p19.2,Baalim,Plural of Baal; images of the god Baal ([Judg. 2:11](/judg#Judg.2.11); [1 Sam. 7:4](/1sam#1Sam.7.4)).,0.0,unmatched,unmatched,,
Baalis,675,b-p20.3,Baalis,King of the Ammonites at the time of the Babylonian captivity ([Jer. 40:14](/jer#Jer.40.14)). He hired Ishmael to slay Gedaliah who had been appointed governor over the cities of Judah.,0.0,person,baalis_578,baalis_578,
Baal-meon,676,b-p21.2,Baal-meon,"Lord of dwelling, a town of Reuben ([Num. 32:38](/num#Num.32.38)), called also Beth-meon ([Jer. 48:23](/jer#Jer.48.23)) and Beth-baal-meon ([Josh. 13:17](/josh#Josh.13.17)). It is supposed to have been the birth-place of Elisha. It is identified with the modern M’ain, about 3 miles south-east of Heshbon.",0.0,unmatched,unmatched,,baal-meon_144
Baal-peor,677,b-p22.4,Baal-peor,"Lord of the opening, a god of the Moabites ([Num. 25:3](/num#Num.25.3); [31:16](/num#Num.31.16); [Josh. 22:17](/josh#Josh.22.17)), worshipped by obscene rites. So called from Mount Peor, where this worship was celebrated, the Baal of Peor. The Israelites fell into the worship of this idol ([Num. 25:3](/num#Num.25.3), [5](/num#Num.25.5), [18](/num#Num.25.18); [Deut. 4:3](/deut#Deut.4.3); [Ps. 106:28](/ps#Ps.106.28); [Hos. 9:10](/hos#Hos.9.10)).",0.0,place,baal-peor_145,,baal-peor_145
Baal-perazim,678,b-p23.10,Baal-perazim,"Baal having rents, bursts, or destructions, the scene of a victory gained by David over the Philistines ([2 Sam. 5:20](/2sam#2Sam.5.20); [1 Chr. 14:11](/1chr#1Chr.14.11)). Called Mount Perazim ([Isa. 28:21](/isa#Isa.28.21)). It was near the valley of Rephaim, west of Jerusalem. Identified with the modern Jebel Aly.",0.0,place,baal-perazim_146,,baal-perazim_146
Baal-shalisha,679,b-p24.4,Baal-shalisha,"Lord of Shalisha, a place from which a man came with provisions for Elisha, apparently not far from Gilgal ([2 Kings 4:42](/2kgs#2Kgs.4.42)). It has been identified with Sirisia, 13 miles north of Lydda.",0.0,unmatched,unmatched,,baal-shalishah_147
Baal-tamar,680,b-p25.2,Baal-tamar,"Lord of palm trees, a place in the tribe of Benjamin near Gibeah of Saul ([Judg. 20:33](/judg#Judg.20.33)). It was one of the sanctuaries or groves of Baal. Probably the palm tree of Deborah ([Judg. 4:5](/judg#Judg.4.5)) is alluded to in the name.",0.0,place,baal-tamar_148,,baal-tamar_148
Baal-zebub,681,b-p26.3,Baal-zebub,"Fly-lord, the god of the Philistines at Ekron ([2 Kings 1:2](/2kgs#2Kgs.1.2), [3](/2kgs#2Kgs.1.3), [16](/2kgs#2Kgs.1.16)). This name was given to the god because he was supposed to be able to avert the plague of flies which in that region was to be feared. He was consulted by Ahaziah as to his recovery.",0.0,person,baal-zebub_579,baal-zebub_579,
Baal-zephon,682,b-p27.4,Baal-zephon,"Baal of the north, an Egyptian town on the shores of the Gulf of Suez ([Ex. 14:2](/exod#Exod.14.2); [Num. 33:7](/num#Num.33.7)), over against which the children of Israel encamped before they crossed the Red Sea. It is probably to be identified with the modern Jebel Deraj or Kulalah, on the western shore of the Gulf of Suez. Baal-zapuna of the Egyptians was a place of worship.",0.0,place,baal-zephon_149,,baal-zephon_149
Baana,683,b-p28.3,Baana,"
Son of affliction. ",0.0,unmatched,unmatched,,
Baana 1,684,b-p28.3,Baana,One of Solomon’s purveyors ([1 Kings 4:12](/1kgs#1Kgs.4.12)).,1.0,person,baana_580,baana_580,
Baana 2,685,b-p28.3,Baana,"Son of Hushai, another of Solomon’s purveyors ([1 Kings 4:16](/1kgs#1Kgs.4.16)).",2.0,unmatched,unmatched,baanah_584,
Baana 3,686,b-p28.3,Baana,Father of Zadok ([Neh. 3:4](/neh#Neh.3.4)).,3.0,person,baana_581,baana_581,
Baanah,687,b-p31.2,Baanah,"
Son of affliction. ",0.0,unmatched,unmatched,,
Baanah 1,688,b-p31.2,Baanah,"One of the two sons of Rimmon the Beerothite, a captain in Saul’s army. He and his brother Rechab assassinated Ishbosheth ([2 Sam. 4:2](/2sam#2Sam.4.2)), and were on this account slain by David, and their mutilated bodies suspended over the pool at Hebron (5, 6, 12).",1.0,person,baanah_582,baanah_582,
Baanah 2,689,b-p31.2,Baanah,"The father of Heled, who was one of David’s thirty heroes ([2 Sam. 23:29](/2sam#2Sam.23.29); [1 Chr. 11:30](/1chr#1Chr.11.30)).",2.0,person,baanah_583,baanah_583,
Baasha,690,b-p33.3,Baasha,"Bravery, the third king of the separate kingdom of Israel, and founder of its second dynasty ([1 Kings 15](/1kgs#1Kgs.15); [16](/1kgs#1Kgs.16); [2 Chr. 16:1-6](/2chr#2Chr.16.1)). He was the son of Ahijah of the tribe of Issachar. The city of Tirzah he made the capital of his kingdom, and there he was buried, after an eventful reign of twenty-four years ([1 Kings 15:33](/1kgs#1Kgs.15.33)). On account of his idolatries his family was exterminated, according to the word of the prophet Jehu ([1 Kings 16:3](/1kgs#1Kgs.16.3), [4](/1kgs#1Kgs.16.4), [10-13](/1kgs#1Kgs.16.10)).",0.0,person,baasha_589,baasha_589,
Babe,691,b-p34.8,Babe,Used of children generally ([Matt. 11:25](/matt#Matt.11.25); [21:16](/matt#Matt.21.16); [Luke 10:21](/luke#Luke.10.21); [Rom. 2:20](/rom#Rom.2.20)). It is used also of those who are weak in Christian faith and knowledge ([1 Cor. 3:1](/1cor#1Cor.3.1); [Heb. 5:13](/heb#Heb.5.13); [1 Pet. 2:2](/1pet#1Pet.2.2)). In [Isa. 3:4](/isa#Isa.3.4) the word “babes” refers to a succession of weak and wicked princes who reigned over Judah from the death of Josiah downward to the destruction of Jerusalem.,0.0,unmatched,unmatched,,
"Babel, tower of",692,b-p35.9,"Babel, tower of","The name given to the tower which the primitive fathers of our race built in the land of Shinar after the Deluge ([Gen. 11:1-9](/gen#Gen.11.1)). Their object in building this tower was probably that it might be seen as a rallying-point in the extensive plain of Shinar, to which they had emigrated from the uplands of Armenia, and so prevent their being scattered abroad. But God interposed and defeated their design by condounding their language, and hence the name Babel, meaning “confusion.” In the Babylonian tablets there is an account of this event, and also of the creation and the deluge.

 The Temple of Belus, which is supposed to occupy its site, is described by the Greek historian Herodotus as a temple of great extent and magnificence, erected by the Babylonians for their god Belus. The treasures Nebuchadnezzar brought from Jerusalem were laid up in this temple ([2 Chr. 36:7](/2chr#2Chr.36.7)).

 The Birs Nimrud, at ancient Borsippa, about 7 miles south-west of Hillah, the modern town which occupies a part of the site of ancient Babylon, and 6 miles from the Euphrates, is an immense mass of broken and fire-blasted fragments, of about 2,300 feet in circumference, rising suddenly to the height of 235 feet above the desert-plain, and is with probability regarded as the ruins of the tower of Babel. This is “one of the most imposing ruins in the country.” Others think it to be the ruins of the Temple of Belus.",0.0,unmatched,unmatched,,babel_150
