personLookup,status,personID,displayTitle,name,surname,alsoCalled,isProperName,ambiguous,Disambiguation (temp),gender,occupations,birthYear,minYear,deathYear,maxYear,birthPlace,deathPlace,memberOf,eastons,dictText,events,eventGroups,verseCount,verses,mother,father,partners,children,siblings,halfSiblingsSameMother,halfSiblingsSameFather,chaptersWritten,alphaGroup,slug,modified
azrikam_564,wip,564,Azrikam,Azrikam,,,checked,checked,"A descendant of Zerubbabel, and son of Neariah of the royal line of Judah. (1 Chronicles 3:23) Eldest son of Azel, and descendant of Saul. (1 Chronicles 8:38; 9:44) (B.C after 1037.) A Levite, ancestor of Shemaiah, who lived in the time of Nehemiah. (1 Chronicles 9:14; Nehemiah 11:15) (B.C. before 536.) Governor of the house, or prefect of the palace, to King Ahaz, who was slain by Zichri, an Ephraimite hero, in the successful invasion of the southern kingdom by Pekah king of Israel. (2 Chronicles 28:7) (B.C. 738.)",Male,,,-1200,,-1200,,,,,,,,2,"1Chr.8.38,1Chr.9.44",,azel_551,,,"bocheru_520,ishmael_632,hanan_1371,obadiah_2218,sheariah_2565",,,,A,azrikam_564,2019-07-27 11:49
azrikam_565,wip,565,Azrikam,Azrikam,,,checked,checked,Azrikam (father of Hasshub),Male,,,-536,,-445,,,,,,,,2,"1Chr.9.14,Neh.11.15",,hashabiah_1429,,hasshub_1450,,,,,A,azrikam_565,2019-07-27 11:49
azrikam_566,wip,566,Azrikam,Azrikam,,,checked,checked,Azrikam (David his father),Male,,,-742,,-742,,,,,,,,1,2Chr.28.7,,,,,,,,,A,azrikam_566,2019-07-27 11:49
azubah_567,wip,567,Azubah,Azubah,,,checked,checked,"Azubah (wife of Caleb) ""deserted"", is the name of two women in the Bible",Female,,,-914,,-914,,,Genealogy of Jesus,Azubah 2,"The daughter of Shilhi, and mother of king Jehoshaphat ([1 Kings 22:42](/1kgs#1Kgs.22.42)).",,,2,"1Kgs.22.42,2Chr.20.31",,shilhi_2676,asa_318,jehoshaphat_808,,,,,A,azubah_567,2019-07-27 11:49
azubah_568,wip,568,Azubah,Azubah,,,checked,checked,Azubah (daughter of Shilhi),Female,,,-1470,,-1470,,,,Azubah 1,"The wife of Caleb ([1 Chr. 2:18](/1chr#1Chr.2.18), [19](/1chr#1Chr.2.19)).",,,2,"1Chr.2.18,1Chr.2.19",,,caleb_538,,,,,,A,azubah_568,2019-07-27 11:49
azur_569,wip,569,Azur,Azur,,,checked,checked,Azur (Azurr) Azur (father of Hananiah),Male,,,-595,,-595,,,,Azur and Azzur 1,"The father of Hananiah, a false prophet ([Jer. 28:1](/jer#Jer.28.1)).",,,1,Jer.28.1,,,,hananiah_1395,,,,,A,azur_569,2019-07-27 11:49
azur_570,wip,570,Azur,Azur,,,checked,checked,Azur (father of Jaazaniah),Male,,,-594,,-594,,,,Azur and Azzur 2,The father of Jaazaniah ([Ezek. 11:1](/ezek#Ezek.11.1)).,,,1,Ezek.11.1,,,,jaazaniah_670,,,,,A,azur_570,2019-07-27 11:49
azzan_571,wip,571,Azzan,Azzan,,,checked,,,Male,,,-1452,,-1452,,,,,,,,1,Num.34.26,,,,paltiel_2270,,,,,A,azzan_571,2019-07-27 11:49
azzur_572,wip,572,Azzur,Azzur,,,checked,,,Male,,,-445,,-445,,,,Azur and Azzur 3,One of those who sealed the covenant with Jehovah on the return from Babylon ([Neh. 10:17](/neh#Neh.10.17)).,,,1,Neh.10.17,,,,,,,,,A,azzur_572,2019-07-27 11:49
baal_573,wip,573,Baal,Baal,,Baal-peor,checked,checked,the Hebrew Bible as the primary god of the Phoenicians.,Male,,,-1452,,60,,,,Baal 1,"The name appropriated to the principal male god of the Phoenicians. It is found in several places in the plural BAALIM ([Judg. 2:11](/judg#Judg.2.11); [10:10](/judg#Judg.10.10); [1 Kings 18:18](/1kgs#1Kgs.18.18); [Jer. 2:23](/jer#Jer.2.23); [Hos. 2:17](/hos#Hos.2.17)). Baal is identified with Molech ([Jer. 19:5](/jer#Jer.19.5)). It was known to the Israelites as Baal-peor ([Num. 25:3](/num#Num.25.3); [Deut. 4:3](/deut#Deut.4.3)), was worshipped till the time of Samuel ([1 Sam 7:4](/1sam#1Sam.7.4)), and was afterwards the religion of the ten tribes in the time of Ahab ([1 Kings 16:31-33](/1kgs#1Kgs.16.31); [18:19](/1kgs#1Kgs.18.19), [22](/1kgs#1Kgs.18.22)). It prevailed also for a time in the kingdom of Judah ([2 Kings 8:27](/2kgs#2Kgs.8.27); comp. 11:18; 16:3; [2 Chr. 28:2](/2chr#2Chr.28.2)), till finally put an end to by the severe discipline of the Captivity ([Zeph. 1:4-6](/zeph#Zeph.1.4)). The priests of Baal were in great numbers ([1 Kings 18:19](/1kgs#1Kgs.18.19)), and of various classes ([2 Kings 10:19](/2kgs#2Kgs.10.19)). Their mode of offering sacrifices is described in [1 Kings 18:25-29](/1kgs#1Kgs.18.25). The sun-god, under the general title of Baal, or “lord,” was the chief object of worship of the Canaanites. Each locality had its special Baal, and the various local Baals were summed up under the name of Baalim, or “lords.” Each Baal had a wife, who was a colourless reflection of himself.",,,52,"Num.22.41,Num.25.3,Num.25.5,Deut.4.3,Judg.2.13,Judg.6.25,Judg.6.28,Judg.6.30,Judg.6.31,Judg.6.32,1Kgs.16.31,1Kgs.16.32,1Kgs.18.19,1Kgs.18.21,1Kgs.18.22,1Kgs.18.25,1Kgs.18.26,1Kgs.18.40,1Kgs.19.18,1Kgs.22.53,2Kgs.3.2,2Kgs.10.18,2Kgs.10.19,2Kgs.10.20,2Kgs.10.21,2Kgs.10.22,2Kgs.10.23,2Kgs.10.25,2Kgs.10.26,2Kgs.10.27,2Kgs.10.28,2Kgs.11.18,2Kgs.17.16,2Kgs.21.3,2Kgs.23.4,2Kgs.23.5,2Chr.23.17,Jer.2.8,Jer.7.9,Jer.11.13,Jer.11.17,Jer.12.16,Jer.19.5,Jer.23.13,Jer.23.27,Jer.32.29,Jer.32.35,Hos.2.8,Hos.9.10,Hos.13.1,Zeph.1.4,Rom.11.4",,,,,,,,,B,baal_573,2020-07-10 14:29
baal_574,wip,574,Baal,Baal,,,checked,checked,Baal (Descendant of Joel),Male,,,-1710,,-1710,,,,,,,,1,1Chr.5.5,,reaia_2398,,beerah_431,,,,,B,baal_574,2019-07-27 11:49
baal_575,wip,575,Baal,Baal,,,checked,checked,Baal (of Jerusalem),Male,,,-1200,,-1200,,,,Baal 2,"A Benjamite, son of Jehiel, the progenitor of the Gibeonites ([1 Chr. 8:30](/1chr#1Chr.8.30); [9:36](/1chr#1Chr.9.36)).",,,2,"1Chr.8.30,1Chr.9.36",maachah_1844,abiel_23,,,"abdon_12,ahio_156,gedor_1292,kish_1784,mikloth_2078,nadab_2131,ner_2181,zacher_2972,zur_3111",,,,B,baal_575,2019-07-27 11:49
baal-hanan_576,wip,576,Baalhanan,Baal-hanan,,,checked,checked,Son of Merari,Male,,,-1853,,-1617,,,,Baal-hanan 1,"A king of Edom, son of Achbor ([Gen. 36:38](/gen#Gen.36.38), [39](/gen#Gen.36.39); [1 Chr. 1:49](/1chr#1Chr.1.49), [50](/1chr#1Chr.1.50)).",,,4,"Gen.36.38,Gen.36.39,1Chr.1.49,1Chr.1.50",,achbor_62,,,,,,,B,baal-hanan_576,2020-07-25 20:03
baal-hanan_577,wip,577,Baalhanan,Baal-hanan,,,checked,checked,Baal-hanan (officer in charge of orchards in the Shephelah in service of King David of Israel),Male,,,-1015,,-1015,,,,Baal-hanan 2,An overseer of “the olive trees and sycomore trees in the low plains” (the Shephelah) under David ([1 Chr. 27:28](/1chr#1Chr.27.28)).,,,1,1Chr.27.28,,,,,,,,,B,baal-hanan_577,2020-07-25 20:03
baal-zebub_579,wip,579,Baal-zebub,Baal-zebub,,,checked,,,Male,,,-896,,-896,,,,Baal-zebub,"Fly-lord, the god of the Philistines at Ekron ([2 Kings 1:2](/2kgs#2Kgs.1.2), [3](/2kgs#2Kgs.1.3), [16](/2kgs#2Kgs.1.16)). This name was given to the god because he was supposed to be able to avert the plague of flies which in that region was to be feared. He was consulted by Ahaziah as to his recovery.",,,4,"2Kgs.1.2,2Kgs.1.3,2Kgs.1.6,2Kgs.1.16",,,,,,,,,B,baal-zebub_579,2019-07-27 11:49
baalis_578,wip,578,Baalis,Baalis,,,checked,,,Male,,,-588,,-588,,,,Baalis,King of the Ammonites at the time of the Babylonian captivity ([Jer. 40:14](/jer#Jer.40.14)). He hired Ishmael to slay Gedaliah who had been appointed governor over the cities of Judah.,,,1,Jer.40.14,,,,,,,,,B,baalis_578,2019-07-27 11:49
baana_580,wip,580,Baana,Baana,,,checked,checked,Baana(son of Ahilud),Male,,,-1014,,-1014,,,,Baana 1,One of Solomon’s purveyors ([1 Kings 4:12](/1kgs#1Kgs.4.12)).,,,1,1Kgs.4.12,,ahilud_142,,,jehoshaphat_806,,,,B,baana_580,2019-07-27 11:49
baana_581,wip,581,Baana,Baana,,,checked,checked,Zadok,Male,,,-445,,-445,,,,Baana 3,Father of Zadok ([Neh. 3:4](/neh#Neh.3.4)).,,,1,Neh.3.4,,,,zadok_2976,,,,,B,baana_581,2019-07-27 11:49
baanah_582,wip,582,Baanah,Baanah,,,checked,checked,Baanah (Captain of Ish-bosheth) Baanah (Father of Iteleb),Male,,,-1048,,-1048,,,,Baanah 1,"One of the two sons of Rimmon the Beerothite, a captain in Saul’s army. He and his brother Rechab assassinated Ishbosheth ([2 Sam. 4:2](/2sam#2Sam.4.2)), and were on this account slain by David, and their mutilated bodies suspended over the pool at Hebron (5, 6, 12).",,,4,"2Sam.4.2,2Sam.4.5,2Sam.4.6,2Sam.4.9",,rimmon_2441,,,rechab_2402,,,,B,baanah_582,2019-07-27 11:49
baanah_583,wip,583,Baanah,Baanah,,,checked,checked,Baanah (son of Ribai),Male,,,-1055,,-1055,,,,Baanah 2,"The father of Heled, who was one of David’s thirty heroes ([2 Sam. 23:29](/2sam#2Sam.23.29); [1 Chr. 11:30](/1chr#1Chr.11.30)).",,,2,"2Sam.23.29,1Chr.11.30",,,,heleb_1480,,,,,B,baanah_583,2019-07-27 11:49
baanah_584,wip,584,Baanah,Baanah,,,checked,checked,"Beeroth whose two sons, Baana",Male,,,-1014,,-1014,,,,Baana 2,"Son of Hushai, another of Solomon’s purveyors ([1 Kings 4:16](/1kgs#1Kgs.4.16)).",,,1,1Kgs.4.16,,hushai_1577,,,,,,,B,baanah_584,2019-07-27 11:49
baanah_585,wip,585,Baanah,Baanah,,,checked,checked,"Baanah(Father of Iteleb, one of David's mighty men)",Male,,,-445,,-445,,,,,,,,2,"Ezra.2.2,Neh.7.7",,,,,,,,,B,baanah_585,2019-07-27 11:49
baanah_586,wip,586,Baanah,Baanah,,,checked,checked,Baanah (sealer of covenant),Male,,,-445,,-445,,,,,,,,1,Neh.10.27,,,,,,,,,B,baanah_586,2019-07-27 11:49
baara_587,wip,587,Baara,Baara,,,checked,,,Female,,,0,,0,,,,,,,,1,1Chr.8.8,,,shaharaim_2513,,,,,,B,baara_587,2019-07-27 11:49
baaseiah_588,wip,588,Baaseiah,Baaseiah,,,checked,,,Male,,,-1042,,-1042,,,Tribe of Levi,,,,,1,1Chr.6.40,,malchiah_1901,,michael_2061,,,,,B,baaseiah_588,2019-07-27 11:49
baasha_589,wip,589,Baasha,Baasha,,,checked,,,Male,,,-955,,-588,,,,Baasha,"Bravery, the third king of the separate kingdom of Israel, and founder of its second dynasty ([1 Kings 15](/1kgs#1Kgs.15); [16](/1kgs#1Kgs.16); [2 Chr. 16:1-6](/2chr#2Chr.16.1)). He was the son of Ahijah of the tribe of Issachar. The city of Tirzah he made the capital of his kingdom, and there he was buried, after an eventful reign of twenty-four years ([1 Kings 15:33](/1kgs#1Kgs.15.33)). On account of his idolatries his family was exterminated, according to the word of the prophet Jehu ([1 Kings 16:3](/1kgs#1Kgs.16.3), [4](/1kgs#1Kgs.16.4), [10-13](/1kgs#1Kgs.16.10)).",,,26,"1Kgs.15.16,1Kgs.15.17,1Kgs.15.19,1Kgs.15.21,1Kgs.15.22,1Kgs.15.27,1Kgs.15.28,1Kgs.15.32,1Kgs.15.33,1Kgs.16.1,1Kgs.16.3,1Kgs.16.4,1Kgs.16.5,1Kgs.16.6,1Kgs.16.7,1Kgs.16.8,1Kgs.16.11,1Kgs.16.12,1Kgs.16.13,1Kgs.21.22,2Kgs.9.9,2Chr.16.1,2Chr.16.3,2Chr.16.5,2Chr.16.6,Jer.41.9",,ahijah_136,,elah_1045,,,,,B,baasha_589,2020-11-02 15:58
bakbakkar_590,wip,590,Bakbakkar,Bakbakkar,,,checked,,,Male,,,-536,,-536,,,,,,,,1,1Chr.9.15,,,,,,,,,B,bakbakkar_590,2019-07-27 11:49
bakbuk_591,wip,591,Bakbuk,Bakbuk,,,checked,,,Male,,,-445,,-445,,,,,,,,2,"Ezra.2.51,Neh.7.53",,,,,,,,,B,bakbuk_591,2019-07-27 11:49
bakbukiah_592,wip,592,Bakbukiah,Bakbukiah,,,checked,,,Male,,,-445,,-445,,,,,,,,3,"Neh.11.17,Neh.12.9,Neh.12.25",,,,,,,,,B,bakbukiah_592,2019-07-27 11:49
balaam_593,wip,593,Balaam,Balaam,,,checked,,,Male,,,-1452,,96,,,,Balaam,"Lord of the people; foreigner or glutton, as interpreted by others, the son of Beor, was a man of some rank among the Midianites ([Num. 31:8](/num#Num.31.8); comp. 16). He resided at Pethor ([Deut. 23:4](/deut#Deut.23.4)), in Mesopotamia ([Num. 23:7](/num#Num.23.7)). It is evident that though dwelling among idolaters he had some knowledge of the true God; and was held in such reputation that it was supposed that he whom he blessed was blessed, and he whom he cursed was cursed. When the Israelites were encamped on the plains of Moab, on the east of Jordan, by Jericho, Balak sent for Balaam “from Aram, out of the mountains of the east,” to curse them; but by the remarkable interposition of God he was utterly unable to fulfil Balak’s wish, however desirous he was to do so. The apostle Peter refers (2 Pet. 2:15, [16](/2pet#2Pet.2.16)) to this as an historical event. In [Micah 6:5](/mic#Mic.6.5) reference also is made to the relations between Balaam and Balak. Though Balaam could not curse Israel, yet he suggested a mode by which the divine displeasure might be caused to descend upon them ([Num. 25](/num#Num.25)). In a battle between Israel and the Midianites (q.v.) Balaam was slain while fighting on the side of Balak ([Num. 31:8](/num#Num.31.8)).

 The “doctrine of Balaam” is spoken of in [Rev. 2:14](/rev#Rev.2.14), in allusion to the fact that it was through the teaching of Balaam that Balak learned the way by which the Israelites might be led into sin. Balaam was constrained to utter prophecies regarding the future of Israel of wonderful magnificence and beauty of expression ([Num. 24:5-9](/num#Num.24.5), [17](/num#Num.24.17)).",,,59,"Num.22.5,Num.22.7,Num.22.8,Num.22.9,Num.22.10,Num.22.12,Num.22.13,Num.22.14,Num.22.16,Num.22.18,Num.22.20,Num.22.21,Num.22.23,Num.22.25,Num.22.27,Num.22.28,Num.22.29,Num.22.30,Num.22.31,Num.22.34,Num.22.35,Num.22.36,Num.22.37,Num.22.38,Num.22.39,Num.22.40,Num.22.41,Num.23.1,Num.23.2,Num.23.3,Num.23.4,Num.23.5,Num.23.11,Num.23.16,Num.23.25,Num.23.26,Num.23.27,Num.23.28,Num.23.29,Num.23.30,Num.24.1,Num.24.2,Num.24.3,Num.24.10,Num.24.12,Num.24.15,Num.24.25,Num.31.8,Num.31.16,Deut.23.4,Deut.23.5,Josh.13.22,Josh.24.9,Josh.24.10,Neh.13.2,Mic.6.5,2Pet.2.15,Jude.1.11,Rev.2.14",,beor_466,,,,,,,B,balaam_593,2019-07-27 11:49
baladan_594,wip,594,Baladan,Baladan,,,checked,,,Male,,,-712,,-712,,,,Baladan,"He has given a son, the father of the Babylonian king ([2 Kings 20:12](/2kgs#2Kgs.20.12); [Isa. 39:1](/isa#Isa.39.1)) Merodach-baladan (q.v.).",,,2,"2Kgs.20.12,Isa.39.1",,,,merodach-baladan_483,,,,,B,baladan_594,2019-07-27 11:49
balak_387,wip,387,Balak,Balak,,Balac,checked,,,Male,,,-1452,,96,,,,Balak,"Empty; spoiler, a son of Zippor, and king of the Moabites ([Num. 22:2](/num#Num.22.2), [4](/num#Num.22.4)). From fear of the Israelites, who were encamped near the confines of his territory, he applied to Balaam (q.v.) to curse them; but in vain ([Josh. 24:9](/josh#Josh.24.9)).",,,41,"Num.22.2,Num.22.4,Num.22.7,Num.22.10,Num.22.13,Num.22.14,Num.22.15,Num.22.16,Num.22.18,Num.22.35,Num.22.36,Num.22.37,Num.22.38,Num.22.39,Num.22.40,Num.22.41,Num.23.1,Num.23.2,Num.23.3,Num.23.5,Num.23.7,Num.23.11,Num.23.13,Num.23.15,Num.23.16,Num.23.17,Num.23.18,Num.23.25,Num.23.26,Num.23.27,Num.23.28,Num.23.29,Num.23.30,Num.24.10,Num.24.12,Num.24.13,Num.24.25,Josh.24.9,Judg.11.25,Mic.6.5,Rev.2.14",,zippor_3094,,,,,,,B,balak_387,2019-07-27 11:49
bani_388,wip,388,Bani,Bani,,,checked,checked,"Bani (A Gadite, one of David's mighty men,  a Levite of the line of Merari, and forefather to Ethan, and a man of Judah of the line of Pharez.)",Male,,,-1055,,-1055,,,,Bani 2,"One of David’s thirty-seven warriors, a Gadite ([2 Sam. 23:36](/2sam#2Sam.23.36)).",,,1,2Sam.23.36,,,,,,,,,B,bani_388,2019-07-27 11:49
bani_389,wip,389,Bani,Bani,,,checked,checked,"Bani a Levite, the son of Shemer.",Male,,,-1042,,-1042,,,Tribe of Levi,Bani 1,[1 Chr. 6:46](/1chr#1Chr.6.46).,,,1,1Chr.6.46,,shamer_2533,,amzi_245,,,,,B,bani_389,2019-07-27 11:49
bani_390,wip,390,Bani,Bani,,,checked,checked,Bani (son of Imri),Male,,,-536,,-536,,,,,,,,1,1Chr.9.4,,,,imri_604,,,,,B,bani_390,2019-07-27 11:49
bani_391,wip,391,Bani,Bani,,Binnui,checked,checked,Bani (One of David's thirty-seven warriors),Male,,,-456,,-445,,,,,,,,3,"Ezra.2.10,Ezra.10.29,Neh.7.15",,,,,,,,,B,bani_391,2019-07-27 11:49
bani_392,wip,392,Bani,Bani,,,checked,checked,Bani (of the Levites),Male,,,-456,,-456,,,,,,,,1,Ezra.10.34,,,,,,,,,B,bani_392,2019-07-27 11:49
bani_393,wip,393,Bani,Bani,,,checked,checked,Bani (Son of Bani),Male,,,-456,,-456,,,,,,,,1,Ezra.10.38,,,,,,,,,B,bani_393,2019-07-27 11:49
bani_394,wip,394,Bani,Bani,,,checked,checked,Bani (Father of Rehum),Male,,,-445,,-445,,,,,,,,1,Neh.3.17,,,,rehum_2415,,,,,B,bani_394,2019-07-27 11:49
bani_395,wip,395,Bani,Bani,,,checked,checked,Bani (Sherebiah),Male,,,-445,,-445,,,,,,,,3,"Neh.8.7,Neh.9.5,Neh.10.13",,,,,,,,,B,bani_395,2019-07-27 11:49
bani_396,wip,396,Bani,Bani,,,checked,checked,"Uthai son of Ammihud, the son of Omri, the son of Imri, the son of Bani, a descendant of Perez son of Judah.",Male,,,-445,,-445,,,,,,,,1,Neh.9.4,,,,,,,,,B,bani_396,2019-07-27 11:49
bani_397,wip,397,Bani,Bani,,,checked,checked,"Bani(One of David's thirty-seven warriors, a Gadite ( 2 Samuel 23:36 ).)",Male,,,-445,,-445,,,,,,,,1,Neh.10.14,,,,,,,,,B,bani_397,2019-07-27 11:49
bani_398,wip,398,Bani,Bani,,,checked,checked,Bani (Levite descendant of Asaph),Male,,,-445,,-445,,,,,,,,1,Neh.11.22,,hashabiah_1436,,uzzi_2921,,,,,B,bani_398,2019-07-27 11:49
barabbas_399,wip,399,Barabbas,Barabbas,,,checked,,,Male,,,33,,33,,,,Barabbas,"I.e., son of Abba or of a father, a notorious robber whom Pilate proposed to condemn to death instead of Jesus, whom he wished to release, in accordance with the Roman custom ([John 18:40](/john#John.18.40); [Mark 15:7](/mark#Mark.15.7); [Luke 23:19](/luke#Luke.23.19)). But the Jews were so bent on the death of Jesus that they demanded that Barabbas should be pardoned ([Matt. 27:16-26](/matt#Matt.27.16); [Acts 3:14](/acts#Acts.3.14)). This Pilate did.",,,10,"Matt.27.16,Matt.27.17,Matt.27.20,Matt.27.21,Matt.27.26,Mark.15.7,Mark.15.11,Mark.15.15,Luke.23.18,John.18.40",,,,,,,,,B,barabbas_399,2025-08-06 21:07
barachel_400,wip,400,Barachel,Barachel,,,checked,,,Male,,,-1520,,-1520,,,,Barachel,"Whom God has blessed, a Buzite, the father of Elihu, one of Job’s friends ([Job 32:2](/job#Job.32.2), [6](/job#Job.32.6)).",,,2,"Job.32.2,Job.32.6",,,,elihu_1130,,,,,B,barachel_400,2019-07-27 11:49
barak_401,wip,401,Barak,Barak,,,checked,,,Male,,,-1285,,64,,,,Barak,"Lightning, the son of Abinoam ([Judg. 4:6](/judg#Judg.4.6)). At the summons of Deborah he made war against Jabin. She accompanied him into the battle, and gave the signal for the little army to make the attack; in which the host of Jabin was completely routed. The battle was fought ([Judg. 4:16](/judg#Judg.4.16)) in the plain of Jezreel (q.v.). This deliverance of Israel is commemorated in [Judg. 5](/judg#Judg.5). Barak’s faith is commended ([Heb. 11:32](/heb#Heb.11.32)). “The character of Barak, though pious, does not seem to have been heroic. Like Gideon, and in a sense Samson, he is an illustration of the words in [Heb. 11:34](/heb#Heb.11.34), ’Out of weakness were made strong.’”",,,13,"Judg.4.6,Judg.4.8,Judg.4.9,Judg.4.10,Judg.4.12,Judg.4.14,Judg.4.15,Judg.4.16,Judg.4.22,Judg.5.1,Judg.5.12,Judg.5.15,Heb.11.32",,abinoam_46,,,,,,,B,barak_401,2020-09-13 02:12
bariah_402,wip,402,Bariah,Bariah,,,checked,,,Male,,,-1053,,-1053,,,Tribe of Judah,Bariah,"Fugitive, one of Shemaiah’s five sons. Their father is counted along with them in [1 Chr. 3:22](/1chr#1Chr.3.22).",,,1,1Chr.3.22,,shemaiah_2620,,,"igeal_595,hattush_1457,neariah_2161,shaphat_2554",,,,B,bariah_402,2019-07-27 11:49
barkos_404,wip,404,Barkos,Barkos,,,checked,,,Male,,,-445,,-445,,,,Barkos,"Painter, ([Ezra 2:53](/ezra#Ezra.2.53); [Neh. 7:55](/neh#Neh.7.55)). The father of some of the Nethinim.",,,2,"Ezra.2.53,Neh.7.55",,,,,,,,,B,barkos_404,2019-07-27 11:49
barnabas_1722,publish,1722,Barnabas,Barnabas,,"Jupiter,Joses",checked,,,Male,,,33,,64,,,,Barnabas,"Son of consolation, the surname of Joses, a Levite ([Acts 4:36](/acts#Acts.4.36)). His name stands first on the list of prophets and teachers of the church at Antioch (13:1). Luke speaks of him as a “good man” (11:24). He was born of Jewish parents of the tribe of Levi. He was a native of Cyprus, where he had a possession of land ([Acts 4:36](/acts#Acts.4.36), [37](/acts#Acts.4.37)), which he sold. His personal appearance is supposed to have been dignified and commanding ([Acts 14:11](/acts#Acts.14.11), [12](/acts#Acts.14.12)). When Paul returned to Jerusalem after his conversion, Barnabas took him and introduced him to the apostles (9:27). They had probably been companions as students in the school of Gamaliel.

 The prosperity of the church at Antioch led the apostles and brethren at Jerusalem to send Barnabas thither to superintend the movement. He found the work so extensive and weighty that he went to Tarsus in search of Saul to assist him. Saul returned with him to Antioch and laboured with him for a whole year ([Acts 11:25](/acts#Acts.11.25), [26](/acts#Acts.11.26)). The two were at the end of this period sent up to Jerusalem with the contributions the church at Antioch had made for the poorer brethren there (11:28-30). Shortly after they returned, bringing John Mark with them, they were appointed as missionaries to the heathen world, and in this capacity visited Cyprus and some of the principal cities of Asia Minor ([Acts 13:14](/acts#Acts.13.14)). Returning from this first missionary journey to Antioch, they were again sent up to Jerusalem to consult with the church there regarding the relation of Gentiles to the church ([Acts 15:2](/acts#Acts.15.2): [Gal. 2:1](/gal#Gal.2.1)). This matter having been settled, they returned again to Antioch, bringing the decree of the council as the rule by which Gentiles were to be admitted into the church.

 When about to set forth on a second missionary journey, a dispute arose between Saul and Barnabas as to the propriety of taking John Mark with them again. The dispute ended by Saul and Barnabas taking separate routes. Saul took Silas as his companion, and journeyed through Syria and Cilicia; while Barnabas took his nephew John Mark, and visited Cyprus ([Acts 15:36-41](/acts#Acts.15.36)). Barnabas is not again mentioned by Luke in the Acts.","Believers share all things, Saul proclaims Jesus, Disciples first called Christians, First missionary journey begins, Barnabas and Saul go to Cyprus, Mission to Antioch in Pisidia, Mission to Lystra and Derbe, Jerusalem Council, Paul and Barnabas part ways, Mission to Iconium, Return to Antioch in Syria",,29,"Acts.4.36,Acts.9.27,Acts.11.22,Acts.11.25,Acts.11.30,Acts.12.25,Acts.13.1,Acts.13.2,Acts.13.7,Acts.13.43,Acts.13.46,Acts.13.50,Acts.14.12,Acts.14.13,Acts.14.14,Acts.14.20,Acts.15.2,Acts.15.12,Acts.15.22,Acts.15.25,Acts.15.35,Acts.15.36,Acts.15.37,Acts.15.39,1Cor.9.6,Gal.2.1,Gal.2.9,Gal.2.13,Col.4.10",,,,,mary_1941,,,,B,barnabas_1722,2023-12-02 23:09
barsabas_1720,publish,1720,Barsabas Justus,Barsabas,Justus,Joseph,checked,,,Male,,,33,,33,,,,Joseph 6,"Surnamed Barsabas ([Acts 1:23](/acts#Acts.1.23)); also called Justus. He was one of those who “companied with the apostles all the time that the Lord Jesus went out and in among them” ([Acts 1:21](/acts#Acts.1.21)), and was one of the candidates for the place of Judas.",Matthias replaces Judas,,1,Acts.1.23,,,,,,,,,B,barsabas_1720,2023-12-02 23:09
bartholomew_405,publish,405,Bartholomew,Bartholomew,,,checked,,,Male,,,31,,33,,,"Apostles,Apostles (Post-Ascension),Apostles (The Eleven)",Bartholomew,"Son of Tolmai, one of the twelve apostles ([Matt. 10:3](/matt#Matt.10.3); [Acts 1:13](/acts#Acts.1.13)); generally supposed to have been the same as Nathanael. In the synoptic gospels Philip and Bartholomew are always mentioned together, while Nathanael is never mentioned; in the fourth gospel, on the other hand, Philip and Nathanael are similarly mentioned together, but nothing is said of Bartholomew. He was one of the disciples to whom our Lord appeared at the Sea of Tiberias after his resurrection ([John 21:2](/john#John.21.2)). He was also a witness of the Ascension ([Acts 1:4](/acts#Acts.1.4), [12](/acts#Acts.1.12), [13](/acts#Acts.1.13)). He was an “Israelite indeed” ([John 1:47](/john#John.1.47)).",Matthias replaces Judas,,4,"Matt.10.3,Mark.3.18,Luke.6.14,Acts.1.13",,,,,,,,,B,bartholomew_405,2023-12-02 23:09
bartimaeus_406,wip,406,Bartimaeus,Bartimaeus,,,checked,,,Male,,,29,,29,,,,Bartimaeus,"Son of Timaeus, one of the two blind beggars of Jericho ([Mark 10:46](/mark#Mark.10.46); [Matt. 20:30](/matt#Matt.20.30)). His blindness was miraculously cured on the ground of his faith.",,,1,Mark.10.46,,timaeus_2858,,,,,,,B,bartimaeus_406,2025-05-07 01:23
baruch_407,wip,407,Baruch,Baruch,,,checked,checked,Baruch (blessed),Male,,,-445,,-445,,,,,,,,1,Neh.3.20,,zabbai_2952,,,,,,,B,baruch_407,2019-07-27 11:49
baruch_408,wip,408,Baruch,Baruch,,,checked,checked,Baruch (A priest),Male,,,-445,,-445,,,,,,,,1,Neh.10.6,,,,,,,,,B,baruch_408,2019-07-27 11:49
baruch_409,wip,409,Baruch,Baruch,,,checked,checked,Baruch (father of Maaseiah),Male,,,-445,,-445,,,,,,,,1,Neh.11.5,,col-hozeh_952,,maaseiah_1862,,,,,B,baruch_409,2019-07-27 11:49
