"StrongsID","lemma","xlit","pronounce","description","PartOfSpeech","Language"
"G3820","παλαιός","palaiós","pal-ah-yos'","from πάλαι; antique, i.e. not recent, worn out:--old.","Adjective","greek"
"G3821","παλαιότης","palaiótēs","pal-ah-yot'-ace","from παλαιός; antiquatedness:--oldness.","Noun Feminine","greek"
"G3822","παλαιόω","palaióō","pal-ah-yo'-o","from παλαιός; to make (passively, become) worn out, or declare obsolete:--decay, make (wax) old.","Verb","greek"
"G3823","πάλη","pálē","pal'-ay","from  (to vibrate; another form for βάλλω); wrestling:--+ wrestle.","Noun Feminine","greek"
"G3824","παλιγγενεσία","palingenesía","pal-ing-ghen-es-ee'-ah","from πάλιν and γένεσις; (spiritual) rebirth (the state or the act), i.e. (figuratively) spiritual renovation; specially, Messianic restoration:--regeneration.","Noun Feminine","greek"
"G3825","πάλιν","pálin","pal'-in","probably from the same as πάλη (through the idea of oscillatory repetition); (adverbially) anew, i.e. (of place) back, (of time) once more, or (conjunctionally) furthermore or on the other hand:--again.","Adverb","greek"
"G3826","παμπληθεί","pamplētheí","pam-play-thi'","dative case (adverb) of a compound of πᾶς and πλῆθος; in full multitude, i.e. concertedly or simultaneously:--all at once.","Adverb","greek"
"G3827","πάμπολυς","pámpolys","pam-pol-ooce","from πᾶς and πολύς; full many, i.e. immense:--very great.","Adjective","greek"
"G3828","Παμφυλία","Pamphylía","pam-fool-ee'-ah","from a compound of πᾶς and πυρά; every-tribal, i.e. heterogeneous (χώρα being implied); Pamphylia, a region of Asia Minor:--Pamphylia.","Noun Location","greek"
"G3829","πανδοχεῖον","pandocheîon","pan-dokk-i'-on","neuter of a presumed compound of πᾶς and a derivative of δέχομαι; all-receptive, i.e. a public lodging-place (caravanserai or khan):--inn.","Noun Neuter","greek"
"G383","ἀνασείω","anaseíō","an-as-i'-o","from ἀνά and σείω; figuratively, to excite:--move, stir up.","Verb","greek"
"G3830","πανδοχεύς","pandocheús","pan-dokh-yoos'","from the same as πανδοχεῖον; an innkeeper (warden of a caravanserai):--host.","Noun Masculine","greek"
"G3831","πανήγυρις","panḗgyris","pan-ay'-goo-ris","from πᾶς and a derivative of ἀγορά; a mass-meeting, i.e. (figuratively) universal companionship:--general assembly.","Noun Feminine","greek"
"G3832","πανοικί","panoikí","pan-oy-kee'","adverb from πᾶς and οἶκος; with the whole family:--with all his house.","Adverb","greek"
"G3833","πανοπλία","panoplía","pan-op-lee'-ah","from a compound of πᾶς and ὅπλον; full armor (""panoply""):--all (whole) armour.","Noun Feminine","greek"
"G3834","πανουργία","panourgía","pan-oorg-ee'-ah","from πανοῦργος; adroitness, i.e. (in a bad sense) trickery or sophistry:--(cunning) craftiness, subtilty.","Noun Feminine","greek"
"G3835","πανοῦργος","panoûrgos","pan-oor'-gos","from πᾶς and ἔργον; all-working, i.e. adroit (shrewd):--crafty.","Adjective","greek"
"G3836","πανταχόθεν","pantachóthen","pan-takh-oth'-en","adverb (of source) from πανταχοῦ; from all directions:--from every quarter.","Adverb","greek"
"G3837","πανταχοῦ","pantachoû","pan-takh-oo'","genitive case (as adverb of place) of a presumed derivative of πᾶς; universally:--in all places, everywhere.","Adverb","greek"
"G3838","παντελής","pantelḗs","pan-tel-ace'","from πᾶς and τέλος; full-ended, i.e. entire (neuter as noun, completion):--+ in (no) wise, uttermost.","Adjective","greek"
"G3839","πάντη","pántē","pan'-tay","adverb (of manner) from πᾶς; wholly:--always.","Adverb","greek"
"G384","ἀνασκευάζω","anaskeuázō","an-ask-yoo-ad'-zo","from ἀνά (in the sense of reversal) and a derivative of σκεῦος; properly, to pack up (baggage), i.e. (by implication, and figuratively) to upset:--subvert.","Verb","greek"
"G3840","πάντοθεν","pántothen","pan-toth'-en","adverb (of source) from πᾶς; from (i.e. on) all sides:--on every side, round about.","Adverb","greek"
"G3841","παντοκράτωρ","pantokrátōr","pan-tok-rat'-ore","from πᾶς and κράτος; the all-ruling, i.e. God (as absolute and universal sovereign):--Almighty, Omnipotent.","Noun Masculine","greek"
"G3842","πάντοτε","pántote","pan'-tot-eh","from πᾶς and ὅτε; every when, i.e. at all times:--alway(-s), ever(-more).","Adverb","greek"
"G3843","πάντως","pántōs","pan'-toce","adverb from πᾶς; entirely; specially, at all events, (with negative, following) in no event:--by all means, altogether, at all, needs, no doubt, in (no) wise, surely.","Adverb","greek"
"G3844","παρά","pará","par-ah'","a primary preposition; properly, near; i.e. (with genitive case) from beside (literally or figuratively), (with dative case) at (or in) the vicinity of (objectively or subjectively), (with accusative case) to the proximity with (local (especially beyond or opposed to) or causal (on account of):--above, against, among, at, before, by, contrary to, X friend, from, + give (such things as they), + that (she) had, X his, in, more than, nigh unto, (out) of, past, save, side…by, in the sight of, than, (there-)fore, with. In compounds it retains the same variety of application.","Preposition","greek"
"G3845","παραβαίνω","parabaínō","par-ab-ah'-ee-no","from παρά and the base of βάσις; to go contrary to, i.e. violate a command:--(by) transgress(-ion).","Verb","greek"
"G3846","παραβάλλω","parabállō","par-ab-al'-lo","from παρά and βάλλω; to throw alongside, i.e. (reflexively) to reach a place, or (figuratively) to liken:--arrive, compare.","Verb","greek"
"G3847","παράβασις","parábasis","par-ab'-as-is","from παραβαίνω; violation:--breaking, transgression.","Noun Feminine","greek"
"G3848","παραβάτης","parabátēs","par-ab-at'-ace","from παραβαίνω; a violator:--breaker, transgress(-or).","Noun Masculine","greek"
"G3849","παραβιάζομαι","parabiázomai","par-ab-ee-ad'-zom-ahee","from παρά and the middle voice of βιάζω; to force contrary to (nature), i.e. compel (by entreaty):--constrain.","Verb","greek"
"G385","ἀνασπάω","anaspáō","an-as-pah'-o","from ἀνά and σπάω; to take up or extricate:--draw up, pull out.","Verb","greek"
"G3850","παραβολή","parabolḗ","par-ab-ol-ay'","from παραβάλλω; a similitude (""parable""), i.e. (symbolic) fictitious narrative (of common life conveying a moral), apothegm or adage:--comparison, figure, parable, proverb.","Noun Feminine","greek"
"G3851","παραβουλεύομαι","parabouleúomai","par-ab-ool-yoo'-om-ahee","from παρά and the middle voice of βουλεύω; to misconsult, i.e. disregard:--not (to) regard(-ing).","Verb","greek"
"G3852","παραγγελία","parangelía","par-ang-gel-ee'-ah","from παραγγέλλω; a mandate:--charge, command.","Noun Feminine","greek"
"G3853","παραγγέλλω","parangéllō","par-ang-gel'-lo","from παρά and the base of ἄγγελος; to transmit a message, i.e. (by implication) to enjoin:--(give in) charge, (give) command(-ment), declare.","Verb","greek"
"G3854","παραγίνομαι","paragínomai","par-ag-in'-om-ahee","from παρά and γίνομαι; to become near, i.e. approach (have arrived); by implication, to appear publicly:--come, go, be present.","Verb","greek"
"G3855","παράγω","parágō","par-ag'-o","from παρά and ἄγω; to lead near, i.e. (reflexively or intransitively) to go along or away:--depart, pass (away, by, forth).","Verb","greek"
"G3856","παραδειγματίζω","paradeigmatízō","par-ad-igue-mat-id'-zo","from παρά and δειγματίζω; to show alongside (the public), i.e. expose to infamy:--make a public example, put to an open shame.","Verb","greek"
"G3857","παράδεισος","parádeisos","par-ad'-i-sos","of Oriental origin (compare פַּרְדֵּס); a park, i.e. (specially), an Eden (place of future happiness, ""paradise""):--paradise.","Noun Masculine","greek"
"G3858","παραδέχομαι","paradéchomai","par-ad-ekh'-om-ahee","from παρά and δέχομαι; to accept near, i.e. admit or (by implication) delight in:--receive.","Verb","greek"
"G3859","παραδιατριβή","paradiatribḗ","par-ad-ee-at-ree-bay'","from a compound of παρά and διατρίβω; misemployment, i.e. meddlesomeness:--perverse disputing.","Noun Feminine","greek"
"G386","ἀνάστασις","anástasis","an-as'-tas-is","from ἀνίστημι; a standing up again, i.e. (literally) a resurrection from death (individual, genitive case or by implication, (its author)), or (figuratively) a (moral) recovery (of spiritual truth):--raised to life again, resurrection, rise from the dead, that should rise, rising again.","Noun Feminine","greek"
"G3860","παραδίδωμι","paradídōmi","par-ad-id'-o-mee","from παρά and δίδωμι; to surrender, i.e yield up, intrust, transmit:--betray, bring forth, cast, commit, deliver (up), give (over, up), hazard, put in prison, recommend.","Verb","greek"
"G3861","παράδοξος","parádoxos","par-ad'-ox-os","from παρά and δόξα (in the sense of seeming); contrary to expectation, i.e. extraordinary (""paradox""):--strange.","Adjective","greek"
"G3862","παράδοσις","parádosis","par-ad'-os-is","from παραδίδωμι; transmission, i.e. (concretely) a precept; specially, the Jewish traditionary law:--ordinance, tradition.","Noun Feminine","greek"
"G3863","παραζηλόω","parazēlóō","par-ad-zay-lo'-o","from παρά and ζηλόω; to stimulate alongside, i.e. excite to rivalry:--provoke to emulation (jealousy).","Verb","greek"
"G3864","παραθαλάσσιος","parathalássios","par-ath-al-as'-see-os","from παρά and θάλασσα; along the sea, i.e. maritime (lacustrine):--upon the sea coast.","Adjective","greek"
"G3865","παραθεωρέω","paratheōréō","par-ath-eh-o-reh'-o","from παρά and θεωρέω; to overlook or disregard:--neglect.","Verb","greek"
"G3866","παραθήκη","parathḗkē","par-ath-ay'-kay","from παρατίθημι; a deposit, i.e. (figuratively) trust:--committed unto.","Noun Feminine","greek"
"G3867","παραινέω","parainéō","par-ahee-neh'-o","from παρά and αἰνέω; to mispraise, i.e. recommend or advise (a different course):--admonish, exhort.","Verb","greek"
"G3868","παραιτέομαι","paraitéomai","par-ahee-teh'-om-ahee","from παρά and the middle voice of αἰτέω; to beg off, i.e. deprecate, decline, shun:--avoid, (make) excuse, intreat, refuse, reject.","Verb","greek"
"G3869","παρακαθίζω","parakathízō","par-ak-ath-id'-zo","from παρά and καθίζω; to sit down near:--sit.","Verb","greek"
"G387","ἀναστατόω","anastatóō","an-as-tat-o'-o","from a derivative of ἀνίστημι (in the sense of removal); properly, to drive out of home, i.e. (by implication) to disturb (literally or figuratively):--trouble, turn upside down, make an uproar.","Verb","greek"
"G3870","παρακαλέω","parakaléō","par-ak-al-eh'-o","from παρά and καλέω; to call near, i.e. invite, invoke (by imploration, hortation or consolation):--beseech, call for, (be of good) comfort, desire, (give) exhort(-ation), intreat, pray.","Verb","greek"
"G3871","παρακαλύπτω","parakalýptō","par-ak-al-oop'-to","from παρά and καλύπτω; to cover alongside, i.e. veil (figuratively):--hide.","Verb","greek"
"G3872","παρακαταθήκη","parakatathḗkē","par-ak-at-ath-ay'-kay","from a compound of παρά and κατατίθημι; something put down alongside, i.e. a deposit (sacred trust):--that (thing) which is committed (un-)to (trust).","Noun Feminine","greek"
"G3873","παράκειμαι","parákeimai","par-ak'-i-mahee","from παρά and κεῖμαι; to lie near, i.e. be at hand (figuratively, be prompt or easy):--be present.","Verb","greek"
"G3874","παράκλησις","paráklēsis","par-ak'-lay-sis","from παρακαλέω; imploration, hortation, solace:--comfort, consolation, exhortation, intreaty.","Noun Feminine","greek"
"G3875","παράκλητος","paráklētos","par-ak'-lay-tos","","Noun Masculine","greek"
"G3876","παρακοή","parakoḗ","par-ak-o-ay'","from παρακούω; inattention, i.e. (by implication) disobedience:--disobedience.","Noun Feminine","greek"
"G3877","παρακολουθέω","parakolouthéō","par-ak-ol-oo-theh'-o","from παρά and ἀκολουθέω; to follow near, i.e. (figuratively) attend (as a result), trace out, conform to:--attain, follow, fully know, have understanding.","Verb","greek"
"G3878","παρακούω","parakoúō","par-ak-oo'-o","from παρά and ἀκούω; to mishear, i.e. (by implication) to disobey:--neglect to hear.","Verb","greek"
"G3879","παρακύπτω","parakýptō","par-ak-oop'-to","from παρά and κύπτω; to bend beside, i.e. lean over (so as to peer within):--look (into), stoop down.","Verb","greek"
"G388","ἀνασταυρόω","anastauróō","an-as-tow-ro'-o","from ἀνά and σταυρόω; to recrucify (figuratively):--crucify afresh.","Verb","greek"
"G3880","παραλαμβάνω","paralambánō","par-al-am-ban'-o","from παρά and λαμβάνω; to receive near, i.e. associate with oneself (in any familiar or intimate act or relation); by analogy, to assume an office; figuratively, to learn:--receive, take (unto, with).","Verb","greek"
"G3881","παραλέγομαι","paralégomai","par-al-eg'-om-ahee","from παρά and the middle voice of λέγω (in its original sense); (specially), to lay one's course near, i.e. sail past:--pass, sail by.","Verb","greek"
"G3882","παράλιος","parálios","par-al'-ee-os","from παρά and ἅλς; beside the salt (sea), i.e. maritime:--sea coast.","Adjective","greek"
"G3883","παραλλαγή","parallagḗ","par-al-lag-ay'","from a compound of παρά and ἀλλάσσω; transmutation (of phase or orbit), i.e. (figuratively) fickleness:--variableness.","Noun Feminine","greek"
"G3884","παραλογίζομαι","paralogízomai","par-al-og-id'-zom-ahee","from παρά and λογίζομαι; to misreckon, i.e. delude:--beguile, deceive.","Verb","greek"
"G3885","παραλυτικός","paralytikós","par-al-oo-tee-kos'","from a derivative of παραλύω; as if dissolved, i.e. ""paralytic"":--that had (sick of) the palsy.","Adjective","greek"
"G3886","παραλύω","paralýō","par-al-oo'-o","from παρά and λύω; to loosen beside, i.e. relax (perfect passive participle, paralyzed or enfeebled):--feeble, sick of the (taken with) palsy.","Verb","greek"
"G3887","παραμένω","paraménō","par-am-en'-o","from παρά and μένω; to stay near, i.e. remain (literally, tarry; or figuratively, be permanent, persevere):--abide, continue.","Verb","greek"
"G3888","παραμυθέομαι","paramythéomai","par-am-oo-theh'-om-ahee","from παρά and the middle voice of a derivative of μῦθος; to relate near, i.e. (by implication) encourage, console:--comfort.","Verb","greek"
"G3889","παραμυθία","paramythía","par-am-oo-thee'-ah","from παραμυθέομαι; consolation (properly, abstract):--comfort.","Noun Feminine","greek"
"G389","ἀναστενάζω","anastenázō","an-as-ten-ad'-zo","from ἀνά and στενάζω; to sigh deeply:--sigh deeply.","Verb","greek"
"G3890","παραμύθιον","paramýthion","par-am-oo'-thee-on","neuter of παραμυθία; consolation (properly, concretely):--comfort.","Noun Neuter","greek"
"G3891","παρανομέω","paranoméō","par-an-om-eh'-o","from a compound of παρά and νόμος; to be opposed to law, i.e. to transgress:--contrary to law.","Verb","greek"
"G3892","παρανομία","paranomía","par-an-om-ee'-ah","from the same as παρανομέω; transgression:--iniquity.","Noun Feminine","greek"
"G3893","παραπικραίνω","parapikraínō","par-ap-ik-rah'-ee-no","from παρά and πικραίνω; to embitter alongside, i.e. (figuratively) to exasperate:--provoke.","Verb","greek"
"G3894","παραπικρασμός","parapikrasmós","par-ap-ik-ras-mos'","from παραπικραίνω; irritation:--provocation.","Noun Masculine","greek"
"G3895","παραπίπτω","parapíptō","par-ap-ip'-to","from παρά and πίπτω; to fall aside, i.e. (figuratively) to apostatize:--fall away.","Verb","greek"
"G3896","παραπλέω","parapléō","par-ap-leh'-o","from παρά and πλέω; to sail near:--sail by.","Verb","greek"
"G3897","παραπλήσιον","paraplḗsion","par-ap-lay'-see-on","neuter of a compound of παρά and the base of πλησίον (as adverb); close by, i.e. (figuratively) almost:--nigh unto.","Adjective","greek"
"G3898","παραπλησίως","paraplēsíōs","par-ap-lay-see'-oce","adverb from the same as παραπλήσιον; in a manner near by, i.e. (figuratively) similarly:--likewise.","Adverb","greek"
"G3899","παραπορεύομαι","paraporeúomai","par-ap-or-yoo'-om-ahee","from παρά and πορεύομαι; to travel near:--go, pass (by).","Verb","greek"
"G39","ἅγιον","hágion","hag'-ee-on","neuter of ἅγιος; a sacred thing (i.e. spot):--holiest (of all), holy place, sanctuary.","Adjective","greek"
"G390","ἀναστρέφω","anastréphō","an-as-tref'-o","from ἀνά and στρέφω; to overturn; also to return; by implication, to busy oneself, i.e. remain, live:--abide, behave self, have conversation, live, overthrow, pass, return, be used.","Verb","greek"
"G3900","παράπτωμα","paráptōma","par-ap'-to-mah","from παραπίπτω; a side-slip (lapse or deviation), i.e. (unintentional) error or (wilful) transgression:--fall, fault, offence, sin, trespass.","Noun Neuter","greek"
"G3901","παραῤῥυέω","pararrhyéō","par-ar-hroo-eh'-o","from παρά and the alternate of ῥέω; to flow by, i.e. (figuratively) carelessly pass (miss):--let slip.","Verb","greek"
"G3902","παράσημος","parásēmos","par-as'-ay-mos","from παρά and the base of σημαίνω; side-marked, i.e. labelled (with a badge (figure-head) of a ship):--sign.","Adjective","greek"
"G3903","παρασκευάζω","paraskeuázō","par-ask-yoo-ad'-zo","from παρά and a derivative of σκεῦος; to furnish aside, i.e. get ready:--prepare self, be (make) ready.","Verb","greek"
"G3904","παρασκευή","paraskeuḗ","par-ask-yoo-ay'","as if from παρασκευάζω; readiness:--preparation.","Noun Feminine","greek"
"G3905","παρατείνω","parateínō","par-at-i'-no","from παρά and teino (to stretch); to extend along, i.e. prolong (in point of time):--continue.","Verb","greek"
"G3906","παρατηρέω","paratēréō","par-at-ay-reh'-o","from παρά and τηρέω; to inspect alongside, i.e. note insidiously or scrupulously:--observe, watch.","Verb","greek"
"G3907","παρατήρησις","paratḗrēsis","par-at-ay'-ray-sis","from παρατηρέω; inspection, i.e. ocular evidence:--obervation.","Noun Feminine","greek"
"G3908","παρατίθημι","paratíthēmi","par-at-ith'-ay-mee","from παρά and τίθημι; to place alongside, i.e. present (food, truth); by implication, to deposit (as a trust or for protection):--allege, commend, commit (the keeping of), put forth, set before.","Verb","greek"
"G3909","παρατυγχάνω","paratynchánō","par-at-oong-khan'-o","from παρά and τυγχάνω; to chance near, i.e. fall in with:--meet with.","Verb","greek"
"G391","ἀναστροφή","anastrophḗ","an-as-trof-ay'","from ἀναστρέφω; behavior:--conversation.","Noun Feminine","greek"
"G3910","παραυτίκα","parautíka","par-ow-tee'-kah","from παρά and a derivative of αὐτός; at the very instant, i.e. momentary:--but for a moment.","Adverb","greek"
"G3911","παραφέρω","paraphérō","par-af-er'-o","from παρά and φέρω (including its alternate forms); to bear along or aside, i.e. carry off (literally or figuratively); by implication, to avert:--remove, take away.","Verb","greek"
"G3912","παραφρονέω","paraphronéō","par-af-ron-eh'-o","from παρά and φρονέω; to misthink, i.e. be insane (silly):--as a fool.","Verb","greek"
"G3913","παραφρονία","paraphronía","par-af-ron-ee'-ah","from παραφρονέω; insanity, i.e. foolhardiness:--madness.","Noun Feminine","greek"
"G3914","παραχειμάζω","paracheimázō","par-akh-i-mad'-zo","from παρά and χειμάζω; to winter near, i.e. stay with over the rainy season:--winter.","Verb","greek"
"G3915","παραχειμασία","paracheimasía","par-akh-i-mas-ee'-ah","from παραχειμάζω; a wintering over:--winter in.","Noun Feminine","greek"
"G3916","παραχρῆμα","parachrēma","par-akh-ray'-mah","from παρά and χρῆμα (in its original sense); at the thing itself, i.e. instantly:--forthwith, immediately, presently, straightway, soon.","Adverb","greek"
"G3917","πάρδαλις","párdalis","par'-dal-is","feminine of  (a panther); a leopard:--leopard.","Noun Feminine","greek"
"G3918","πάρειμι","páreimi","par'-i-mee","from παρά and εἰμί (including its various forms); to be near, i.e. at hand; neuter present participle (singular) time being, or (plural) property:--come, X have, be here, + lack, (be here) present.","Verb","greek"
"G3919","παρεισάγω","pareiságō","par-ice-ag'-o","from παρά and εἰσάγω; to lead in aside, i.e. introduce surreptitiously:--privily bring in.","Verb","greek"
"G392","ἀνατάσσομαι","anatássomai","an-at-as'-som-ahee","from ἀνά and the middle voice of τάσσω; to arrange:--set in order.","Verb","greek"
"G3920","παρείσακτος","pareísaktos","par-ice'-ak-tos","from παρεισάγω; smuggled in:--unawares brought in.","Adjective","greek"
"G3921","παρεισδύνω","pareisdýnō","par-ice-doo'-no","from παρά and a compound of εἰς and δύνω; to settle in alongside, i.e. lodge stealthily:--creep in unawares.","Verb","greek"
"G3922","παρεισέρχομαι","pareisérchomai","par-ice-er'-khom-ahee","from παρά and εἰσέρχομαι; to come in alongside, i.e. supervene additionally or steathily:--come in privily, enter.","Verb","greek"
"G3923","παρεισφέρω","pareisphérō","par-ice-fer'-o","from παρά and εἰσφέρω; to bear in alongside, i.e. introduce simultaneously:--give.","Verb","greek"
"G3924","παρεκτός","parektós","par-ek-tos'","from παρά and ἐκτός; near outside, i.e. besides:--except, saving, without.","Adverb","greek"
"G3925","παρεμβολή","parembolḗ","par-em-bol-ay'","from a compound of παρά and ἐμβάλλω; a throwing in beside (juxtaposition), i.e. (specially), battle-array, encampment or barracks (tower Antonia):--army, camp, castle.","Noun Feminine","greek"
"G3926","παρενοχλέω","parenochléō","par-en-okh-leh'-o","from παρά and ἐνοχλέω; to harass further, i.e. annoy:--trouble.","Verb","greek"
"G3927","παρεπίδημος","parepídēmos","par-ep-id'-ay-mos","from παρά and the base of ἐπιδημέω; an alien alongside, i.e. a resident foreigner:--pilgrim, stranger.","Adjective","greek"
"G3928","παρέρχομαι","parérchomai","par-er'-khom-ahee","from παρά and ἔρχομαι; to come near or aside, i.e. to approach (arrive), go by (or away), (figuratively) perish or neglect, (causative) avert:--come (forth), go, pass (away, by, over), past, transgress.","Verb","greek"
"G3929","πάρεσις","páresis","par'-es-is","from κτήτωρ; praetermission, i.e. toleration:--remission.","Noun Feminine","greek"
"G393","ἀνατέλλω","anatéllō","an-at-el'-lo","from ἀνά and the base of τέλος; to (cause to) arise:--(a-, make to) rise, at the rising of, spring (up), be up.","Verb","greek"
"G3930","παρέχω","paréchō","par-ekh'-o","from παρά and ἔχω; to hold near, i.e. present, afford, exhibit, furnish occasion:--bring, do, give, keep, minister, offer, shew, + trouble.","Verb","greek"
"G3931","παρηγορία","parēgoría","par-ay-gor-ee'-ah","from a compound of παρά and a derivative of ἀγορά (meaning to harangue an assembly); an address alongside, i.e. (specially), consolation:--comfort.","Noun Feminine","greek"
"G3932","παρθενία","parthenía","par-then-ee'-ah","from παρθένος; maidenhood:--virginity.","Noun Feminine","greek"
"G3933","παρθένος","parthénos","par-then'-os","of unknown origin; a maiden; by implication, an unmarried daughter:--virgin.","Noun Feminine","greek"
"G3934","Πάρθος","Párthos","par'-thos","probably of foreign origin; a Parthian, i.e. inhabitant of Parthia:--Parthian.","Noun Masculine","greek"
"G3935","παρίημι","paríēmi","par-ee'-ay-mi","from παρά and hiemi (to send); to let by, i.e. relax:--hang down.","Verb","greek"
"G3936","παρίστημι","parístēmi","par-is-tan'-o","from παρά and ἵστημι; to stand beside, i.e. (transitively) to exhibit, proffer, (specially), recommend, (figuratively) substantiate; or (intransitively) to be at hand (or ready), aid:--assist, bring before, command, commend, give presently, present, prove, provide, shew, stand (before, by, here, up, with), yield.","Verb","greek"
"G3937","Παρμενᾶς","Parmenâs","par-men-as'","probably by contraction for  (a derivative of a compound of παρά and μένω); constant; Parmenas, a Christian:--Parmenas.","Noun Masculine","greek"
"G3938","πάροδος","párodos","par'-od-os","from παρά and ὁδός; a by-road, i.e. (actively) a route:--way.","Noun Feminine","greek"
"G3939","παροικέω","paroikéō","par-oy-keh'-o","from παρά and οἰκέω; to dwell near, i.e. reside as a foreigner:--sojourn in, be a stranger.","Verb","greek"
"G394","ἀνατίθεμαι","anatíthemai","an-at-ith'-em-ahee","from ἀνά and the middle voice of τίθημι; to set forth (for oneself), i.e propound:--communicate, declare.","Verb","greek"
"G3940","παροικία","paroikía","par-oy-kee'-ah","from πάροικος; foreign residence:--sojourning, X as strangers.","Noun Feminine","greek"
"G3941","πάροικος","pároikos","par'-oy-kos","from παρά and οἶκος; having a home near, i.e. (as noun) a by-dweller (alien resident):--foreigner, sojourn, stranger.","Adjective","greek"
"G3942","παροιμία","paroimía","par-oy-mee'-ah","from a compound of παρά and perhaps a derivative of οἴομαι; apparently a state alongside of supposition, i.e. (concretely) an adage; specially, an enigmatical or fictitious illustration:--parable, proverb.","Noun Feminine","greek"
"G3943","πάροινος","pároinos","par'-oy-nos","from παρά and οἶνος; staying near wine, i.e. tippling (a toper):--given to wine.","Adjective","greek"
"G3944","παροίχομαι","paroíchomai","par-oy'-khom-ahee","from παρά and  (to depart); to escape along, i.e. be gone:--past.","Verb","greek"
"G3945","παρομοιάζω","paromoiázō","par-om-oy-ad'-zo","from παρόμοιος; to resemble:--be like unto.","Verb","greek"
"G3946","παρόμοιος","parómoios","par-om'-oy-os","from παρά and ὅμοιος; alike nearly, i.e. similar:--like.","Adjective","greek"
"G3947","παροξύνω","paroxýnō","par-ox-oo'-no","from παρά and a derivative of ὀξύς; to sharpen alongside, i.e. (figuratively) to exasperate:--easily provoke, stir.","Verb","greek"
"G3948","παροξυσμός","paroxysmós","par-ox-oos-mos'","from παροξύνω (""paroxysm""); incitement (to good), or dispute (in anger):--contention, provoke unto.","Noun Masculine","greek"
"G3949","παροργίζω","parorgízō","par-org-id'-zo","from παρά and ὀργίζω; to anger alongside, i.e. enrage:--anger, provoke to wrath.","Verb","greek"
"G395","ἀνατολή","anatolḗ","an-at-ol-ay'","from ἀνατέλλω; a rising of light, i.e. dawn (figuratively); by implication, the east (also in plural):--dayspring, east, rising.","Noun Feminine","greek"
"G3950","παροργισμός","parorgismós","par-org-is-mos'","from παροργίζω; rage:--wrath.","Noun Masculine","greek"
"G3951","παροτρύνω","parotrýnō","par-ot-roo'-no","from παρά and  (to spur); to urge along, i.e. stimulate (to hostility):--stir up.","Verb","greek"
"G3952","παρουσία","parousía","par-oo-see'-ah","from the present participle of πάρειμι; a being near, i.e. advent (often, return; specially, of Christ to punish Jerusalem, or finally the wicked); (by implication) physically, aspect:--coming, presence.","Noun Feminine","greek"
"G3953","παροψίς","paropsís","par-op-sis'","from παρά and the base of ὀψάριον; a side-dish (the receptacle):--platter.","Noun Feminine","greek"
"G3954","παῤῥησία","parrhēsía","par-rhay-see'-ah","from πᾶς and a derivative of ῥέω; all out-spokenness, i.e. frankness, bluntness, publicity; by implication, assurance:--bold (X -ly, -ness, -ness of speech), confidence, X freely, X openly, X plainly(-ness).","Noun Feminine","greek"
"G3955","παῤῥησιάζομαι","parrhēsiázomai","par-hray-see-ad'-zom-ahee","middle voice from παῤῥησία; to be frank in utterance, or confident in spirit and demeanor:--be (wax) bold, (preach, speak) boldly.","Verb","greek"
"G3956","πᾶς","pâs","pas","including all the forms of declension; apparently a primary word; all, any, every, the whole:--all (manner of, means), alway(-s), any (one), X daily, + ever, every (one, way), as many as, + no(-thing), X thoroughly, whatsoever, whole, whosoever.","Adjective","greek"
"G3957","πάσχα","páscha","pas'-khah","of Chaldee origin (compare פֶּסַח); the Passover (the meal, the day, the festival or the special sacrifices connected with it):--Easter, Passover.","Noun Neuter","greek"
"G3958","πάσχω","páschō","pen'-tho","apparently a primary verb; to experience a sensation or impression (usually painful):--feel, passion, suffer, vex.","Verb","greek"
"G3959","Πάταρα","Pátara","pat'-ar-ah","probably of foreign origin; Patara, a place in Asia Minor:--Patara.","Noun Location","greek"
"G396","ἀνατρέπω","anatrépō","an-at-rep'-o","from ἀνά and the base of τροπή; to overturn (figuratively):--overthrow, subvert.","Verb","greek"
"G3960","πατάσσω","patássō","pat-as'-so","probably prolongation from παίω; to knock (gently or with a weapon or fatally):--smite, strike. Compare τύπτω.","Verb","greek"
"G3961","πατέω","patéō","pat-eh'-o","from a derivative probably of παίω (meaning a ""path""); to trample (literally or figuratively):--tread (down, under foot).","Verb","greek"
"G3962","πατήρ","patḗr","pat-ayr'","apparently a primary word; a ""father"" (literally or figuratively, near or more remote):--father, parent.","Noun Masculine","greek"
"G3963","Πάτμος","Pátmos","pat'-mos","of uncertain derivation; Patmus, an islet in the Mediterranean:--Patmos.","Noun Location","greek"
"G3964","πατραλῴας","patralṓias","pat-ral-o'-as","from πατήρ and the same as the latter part of μητραλῴας; a parricide:--murderer of fathers.","Noun Masculine","greek"
"G3965","πατριά","patriá","pat-ree-ah'","as if feminine of a derivative of πατήρ; paternal descent, i.e. (concretely) a group of families or a whole race (nation):--family, kindred, lineage.","Noun Feminine","greek"
"G3966","πατριάρχης","patriárchēs","pat-ree-arkh'-ace","from πατριά and ἄρχω; a progenitor (""patriarch""):--patriarch.","Noun Masculine","greek"
"G3967","πατρικός","patrikós","pat-ree-kos'","from πατήρ; paternal, i.e. ancestral:--of fathers.","Adjective","greek"
"G3968","πατρίς","patrís","pat-rece'","from παράσημος; a father-land, i.e. native town; (figuratively) heavenly home:--(own) country.","Noun Feminine","greek"
